"CO_ENTIDADE","nome_escola_2020","situacao_2021","dependencia","rede","matriculas_2020","address","Latitude","Longitude "
35434930,"PLANETA ALEGRE COLEGIO","extinta_2021","3_privada_nao_conveniada","privada",24,"TIETE, 2323 AVENIDA. CAMPESTRE. 09070-310 Santo André - SP.","-46.55074"," -23.64192"
35444054,"CLUBINHO FELIZ ESCOLA DE EDUCACAO INFANTIL","paralisada_2021","3_privada_nao_conveniada","privada",73,"BORORE, 65 RUA. VILA VITORIA. 09175-250 Santo André - SP.","-46.51162"," -23.68687"
35448023,"ESCOLA DE EDUCACAO INFANTIL CARINHA DE ANJO","extinta_2021","3_privada_nao_conveniada","privada",22,"GASPAR DE LEMOS, 22 RUA. JARDIM VILA RICA. 09170-040 Santo André - SP.","-46.50542"," -23.7091"
35449313,"JOAO E MARIA NUCLEO RECREATIVO INFANTIL","extinta_2021","3_privada_nao_conveniada","privada",10,"GUANABARA, 11 RUA. CIDADE SAO JORGE. 09111-630 Santo André - SP.","-46.48603"," -23.67221"
35449337,"CANTINHO DE FADAS ESCOLA DE EDUCACAO INFANTIL","paralisada_2021","3_privada_nao_conveniada","privada",27,"ARAUCARIA, 986 AVENIDA. PARQUE ORATORIO. 09251-040 Santo André - SP.","-46.50807"," -23.63098"
35480472,"SCARPELLI ESCOLA DE EDUCACAO INFANTIL","paralisada_2021","3_privada_nao_conveniada","privada",1,"ADELAIDE SANTA, 69 RUA. VILA SCARPELLI. 09050-450 Santo André - SP.","-46.54597"," -23.6767"
35508986,"AGNUS CENTRO EDUCACIONAL","extinta_2021","3_privada_nao_conveniada","privada",21,"COCAIS, 1546 RUA. JARDIM GUARARA. 09170-510 Santo André - SP.","-46.513701"," -23.7079397"
35568764,"PEQUENA SEREIA NUCLEO DE ENSINO","extinta_2021","3_privada_nao_conveniada","privada",24,"RUA REGENTE FEIJO, 40 RUA. VILA ASSUNCAO. 09030-000 Santo André - SP.","NaN"," NaN"
35581847,"ESPACO INICIAL","extinta_2021","3_privada_nao_conveniada","privada",18,"DUNQUERQUE, 335 RUA. PARQUE NOVO ORATORIO. 09260-220 Santo André - SP.","-46.49936"," -23.629487"
35581860,"KIDS HOME","extinta_2021","3_privada_nao_conveniada","privada",33,"PEREQUE, 116 RUA. VILA CURUCA. 09290-620 Santo André - SP.","NaN"," NaN"
35581914,"AMORA BABY KIDS BERCARIO E EDUCACAO INFANTIL","paralisada_2021","3_privada_nao_conveniada","privada",39,"MIQUELINA, 356 RUA. VILA CAMILOPOLIS. 09230-280 Santo André - SP.","NaN"," NaN"
