"CO_ENTIDADE","nome_escola_2020","situacao_2021","dependencia","matriculas_2020","address","Latitude","Longitude ","rede"
35346724,"AQUARELA ENCANTADA BERCARIO E ESCOLA DE EDUCACAO INFANTIL LTDA","paralisada_2021","3_privada_nao_conveniada",212,"AVENIDA PROFESSOR ALFONSO BOVERO, 218 SUMARE. 01254-000 São Paulo - SP.","-46.6815"," -23.54369","privada"
35371488,"AFIRMACAO COLEGIO","extinta_2021","3_privada_nao_conveniada",15,"HENRIQUE JACOBS, 363 RUA. VILA SANTA TERESA ZONA LESTE. 03566-010 São Paulo - SP.","-46.4917733"," -23.538902","privada"
35383946,"ESTRELA BABY ESCOLA DE EDUCACAO INFANTIL","paralisada_2021","3_privada_nao_conveniada",18,"RUA ARNALDO JOAO, 83 VILA RE. 03660-000 São Paulo - SP.","-46.50855"," -23.51982","privada"
35421561,"ESC PART PITUCHINHOS","paralisada_2021","3_privada_nao_conveniada",23,"RUA GENTIL BRAGA, 549 VILA BUENOS AIRES. 03737-020 São Paulo - SP.","-46.5121"," -23.50996","privada"
35428759,"ESC PART CENTRO EDUCACIONAL A MAR","extinta_2021","3_privada_nao_conveniada",118,"AVENIDA OSVALDO ARANHA, 250 SAUDE. 04292-050 São Paulo - SP.","-46.6094"," -23.61348","privada"
35429624,"PAULO DE AVELAR COLEGIO","paralisada_2021","3_privada_nao_conveniada",4,"PAULO DE AVELAR, 268 RUA. VILA DOM PEDRO II. 02243-010 São Paulo - SP.","-46.6077604"," -23.4995932","privada"
35434735,"ESPACO DA VILA BERCARIO E RECREACAO","paralisada_2021","3_privada_nao_conveniada",62,"RUA ANTONIO MARIANI, 58 INSTITUTO DE PREVIDENCIA. 05530-000 São Paulo - SP.","-46.71594"," -23.57606","privada"
35438017,"COLEGIO COSTA PARIS","extinta_2021","3_privada_nao_conveniada",9,"LUIS FONSECA MAJOR, 231 RUA. JARDIM MONTE KEMEL. 05633-020 São Paulo - SP.","-46.73927"," -23.59905","privada"
35440681,"PEREIRA GOULART ESCOLA","extinta_2021","3_privada_nao_conveniada",16,"GUAIOS, 506 ALAMEDA. PLANALTO PAULISTA. 04070-000 São Paulo - SP.","-46.64547"," -23.62816","privada"
35443104,"ESC PART VERDINHO LIMAO N E R I","paralisada_2021","3_privada_nao_conveniada",3,"RUA CORONEL LUIS GONZAGA DE AZEVEDO, 9 CHACARA SEIS DE OUTUBRO. 03509-070 São Paulo - SP.","-46.52741"," -23.5363","privada"
35443153,"NOVA ESTRELA ESCOLA","paralisada_2021","3_privada_nao_conveniada",10,"AVENIDA PEDRO BUENO, 364 JABAQUARA. 04342-010 São Paulo - SP.","-46.64747"," -23.63449","privada"
35443463,"CORACAO DE OURO","paralisada_2021","3_privada_nao_conveniada",5,"RUA JOSE GETULIO, 239 CASA. LIBERDADE. 01509-001 São Paulo - SP.","-46.63516"," -23.56764","privada"
35443578,"TERRA MATER ESCOLA INFANTIL","paralisada_2021","3_privada_nao_conveniada",16,"RUA PICO NEGRO, 107 VILA REGENTE FEIJO. 03346-100 São Paulo - SP.","-46.5718154"," -23.5626687","privada"
35444479,"ESTELA MARIS RECANTAO ENCANTADO COLEGIO","paralisada_2021","3_privada_nao_conveniada",35,"TEODURETO SOUTO, 188 RUA. CAMBUCI. 01539-000 São Paulo - SP.","-46.6202"," -23.56638","privada"
35448163,"CR P CONV ANTONIA MAMBELLI","extinta_2021","2_privada_conveniada",167,"CANAL DE COCAIA, 1522 A. PARQUE RESIDENCIAL COCAIA. 04849-032 São Paulo - SP.","-46.6698310151696"," -23.7434705905616","pública ou conveniada"
35448459,"CENTRO PROMOCIONAL DINO BUENO","extinta_2021","3_privada_nao_conveniada",187,"ALAMEDA DINO BUENO, 475 CAMPOS ELISEOS. 01217-000 São Paulo - SP.","-46.64429"," -23.53072","privada"
35449015,"COLEGIO NOVO HERDEIRO","paralisada_2021","3_privada_nao_conveniada",10,"GIOVANNI BOLTRAFFIO, 114 RUA. VILA SANTA TERESA ZONA SUL. 04190-050 São Paulo - SP.","-46.6024971"," -23.650601","privada"
35451666,"ESC PART TIA LURDES","paralisada_2021","3_privada_nao_conveniada",26,"RUA DOUTOR EDSON DE MELO, 230 VILA MARIA ALTA. 02122-080 São Paulo - SP.","-46.58264"," -23.51231","privada"
35456597,"CR P CONV ARCA DA ALIANCA","paralisada_2021","2_privada_conveniada",139,"DOUTOR ARTUR FAJARDO, 426 CHACARA NOSSA SENHORA APARECIDA. 02963-000 São Paulo - SP.","-46.7006"," -23.4863","pública ou conveniada"
35456809,"MUNDO DO SONHO ESCOLA DE EDUCACAO INFANTIL","paralisada_2021","3_privada_nao_conveniada",26,"RUA CATENDE, 311 JARDIM NORDESTE. 03691-000 São Paulo - SP.","NaN"," NaN","privada"
35456871,"TLALVES - EDUCACAO INFANTIL","paralisada_2021","3_privada_nao_conveniada",52,"RUA SABBADO DANGELO, 213 ITAQUERA. 08210-790 São Paulo - SP.","-46.45057"," -23.5353","privada"
35456883,"EEI COLMEIA MAGICA","paralisada_2021","3_privada_nao_conveniada",29,"RUA OLIMPIO DE CAMPOS, 290 JARDIM VILA FORMOSA. 03471-130 São Paulo - SP.","-46.52049"," -23.56325","privada"
35461097,"NUCLEO EDUCACIONAL TRINDADE","paralisada_2021","3_privada_nao_conveniada",10,"AVENIDA JACOBUS BALDI, 31 JARDIM IRACEMA. 05847-000 São Paulo - SP.","-46.74441"," -23.65494","privada"
35464326,"ESCOLA PEQUIA","paralisada_2021","3_privada_nao_conveniada",10,"DIOGO CORONEL, 578 RUA. JARDIM GLORIA. 01545-001 São Paulo - SP.","-46.62334"," -23.57847","privada"
35466803,"ESC PART PASSO A PASSO ESCOLA INFANTIL","paralisada_2021","3_privada_nao_conveniada",19,"RUA JISITI NODA, 151 JARDIM MARIA VIRGINIA. 05761-270 São Paulo - SP.","-46.76588"," -23.63716","privada"
35472293,"CASINHA DA ALEGRIA ESCOLA","paralisada_2021","3_privada_nao_conveniada",13,"PAULINO VITAL DE MORAIS, 601 RUA. PARQUE MARIA HELENA. 05855-000 São Paulo - SP.","-46.7625967"," -23.6632156","privada"
35479536,"FOFINHO BERCARIO E ESCOLA","paralisada_2021","3_privada_nao_conveniada",28,"RUA MAESTRO CARDIM, 1058 CASA. LIBERDADE. 01323-000 São Paulo - SP.","NaN"," NaN","privada"
35497319,"ESC PART CONTO DE FADAS","paralisada_2021","3_privada_nao_conveniada",23,"AVENIDA PARADA PINTO, 556 ALTOS. VILA NOVA CACHOEIRINHA. 02611-002 São Paulo - SP.","NaN"," NaN","privada"
35497344,"SONHO DE CRIANCA CENTRO RECREATIVO INFANTIL","paralisada_2021","3_privada_nao_conveniada",33,"RUA PROFESSOR RODOLFO SAO TIAGO, 74 BELENZINHO. 03059-050 São Paulo - SP.","-46.59123"," -23.53928","privada"
35497393,"CR P CONV ABRACO DE MAE","paralisada_2021","2_privada_conveniada",133,"TABATINGA, 751 VILA ITABERABA. 02847-020 São Paulo - SP.","-46.6909"," -23.4615","pública ou conveniada"
35497400,"PIRULITO COLORIDO INSTITUTO INFANTIL","paralisada_2021","3_privada_nao_conveniada",14,"RUA ARAGAO, 257 VILA MAZZEI. 02308-000 São Paulo - SP.","-46.60598"," -23.47521","privada"
35507261,"CR P CONV EDNA MATTOS","paralisada_2021","2_privada_conveniada",92,"MESTRE SIMEAO JOSE DE NAZARE, 368 JARDIM CECY. 02872-030 São Paulo - SP.","NaN"," NaN","pública ou conveniada"
